zipcode,lat_zip,long_zip,Amazon_HQ
98038,47.3845,-122.0574,
98023,47.3104,-122.3612,
98116,47.5746,-122.3934,
98117,47.6873,-122.3772,
98034,47.7188,-122.1966,
98065,47.5293,-121.8225,
98031,47.388,-122.1932,
98075,47.5857,-122.0345,
98028,47.7542,-122.2475,
98103,47.6733,-122.3426,
98004,47.6155,-122.2072,
98166,47.4511,-122.353,
98077,47.7529,-122.0582,
98008,47.6115,-122.1162,
98006,47.5614,-122.1552,
98199,47.6488,-122.3964,
98052,47.6718,-122.1232,
98136,47.5398,-122.3878,
98108,47.5413,-122.3129,
98055,47.4648,-122.2075,
98027,47.4974,-122.0107,
98058,47.4465,-122.1216,
98144,47.5846,-122.3005,
98115,47.6849,-122.2968,
98168,47.4889,-122.3012,
98102,47.6302,-122.321,
98042,47.368,-122.1206,
98059,47.5058,-122.1157,
98002,47.305,-122.2067,
98155,47.7559,-122.3003,
98072,47.7684,-122.1271,
98001,47.3099,-122.2653,
98112,47.6301,-122.2972,
98007,47.6174,-122.1426,
98177,47.7467,-122.3686,
98074,47.6254,-122.0462,
98119,47.6379,-122.3643,
98011,47.7497,-122.2159,
98014,47.638,-121.9111,
98106,47.5344,-122.3547,
98045,47.4755,-121.7571,
98033,47.6786,-122.1894,
98125,47.717,-122.3015,
98133,47.7377,-122.3431,
98053,47.6462,-122.0386,
98122,47.6116,-122.3056,
98022,47.2665,-122.0314,
98178,47.4924,-122.2359,
98148,47.4441,-122.3249,
98019,47.725,-121.9369,
98010,47.3114,-122.0053,
98070,47.4259,-122.4644,
98056,47.5073,-122.1819,
98030,47.3866,-122.2109,
98188,47.4483,-122.2731,
98029,47.5585,-122.0055,
98107,47.6701,-122.3763,
98105,47.6633,-122.3022,
98198,47.3929,-122.3129,
98003,47.3203,-122.3117,
98118,47.5412,-122.275,
98126,47.5444,-122.3735,
98040,47.5603,-122.2281,
98092,47.2884,-122.098,
98032,47.3776,-122.2854,
98146,47.4995,-122.3603,
98024,47.5682,-121.8896,
98005,47.615,-122.1663,
98039,47.6269,-122.2314,
98109,47.6339,-122.3476,